"filename", "language", "HTML", "CSS", "JavaScript", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\minified\jquery-1.9.1.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 2, 0, 5
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\minified\jquery-2.1.0.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\minified\jquery-ui-1.10.4.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 4, 1, 7
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\minified\jquery.mCustomScrollbar.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 1, 0, 3
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\minified\jquery.mousewheel-3.0.6.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 11, 1, 13
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\minified\jquery.mousewheel.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 7, 0, 8
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\uncompressed\jquery.mCustomScrollbar.js", "JavaScript", 0, 0, 1629, 0, 0, 0, 587, 242, 2458
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\uncompressed\jquery.mousewheel-3.0.6.js", "JavaScript", 0, 0, 52, 0, 0, 0, 16, 16, 84
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\uncompressed\jquery.mousewheel.js", "JavaScript", 0, 0, 145, 0, 0, 0, 44, 33, 222
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\package.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 37
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\readme.md", "Markdown", 0, 0, 0, 0, 0, 57, 0, 25, 82
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\map.js", "JavaScript", 0, 0, 129, 0, 0, 0, 180, 54, 363
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\policyCreation.js", "JavaScript", 0, 0, 217, 0, 0, 0, 6, 57, 280
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\register.js", "JavaScript", 0, 0, 387, 0, 0, 0, 31, 94, 512
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\script.js", "JavaScript", 0, 0, 238, 0, 0, 0, 69, 73, 380
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\transition.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\style\agent.css", "CSS", 0, 2526, 0, 0, 0, 0, 150, 493, 3169
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\style\reset.css", "CSS", 0, 78, 0, 0, 0, 0, 3, 13, 94
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\style\style.css", "CSS", 0, 2568, 0, 0, 0, 0, 144, 504, 3216
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\termsOfService.html", "HTML", 172, 0, 0, 0, 0, 0, 78, 17, 267
"Total", "-", 2341, 5985, 6267, 104, 81, 57, 2774, 2956, 20565
